
"Bedrifter (antal)"
" ","Region Hovedstaden"
" "," ","1.1 Hvede",1158,1033,1043,983,935,825,858,788,780,856,787,860,741,649,647,700,689,586,546,509
" "," ","1.2.2 Vårbyg",1109,1016,1091,972,882,998,1076,927,883,855,906,982,944,683,736,733,729,697,562,557
" "," ","1.3 Rug",214,176,170,224,231,151,222,250,201,354,198,192,142,199,201,229,182,182,201,172
" "," ","1.4 Havre",442,309,422,286,277,251,180,204,145,132,183,152,154,148,200,147,147,133,91,153
" "," ","1.6 Majs til modenhed",..,..,..,39,61,83,166,53,53,77,56,92,47,50,53,33,65,54,65,36
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,7,..,..,..,..,..,6,10,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,5,..,..,..
" "," ","4.1 Raps",500,512,511,535,489,393,388,458,434,518,419,463,393,297,320,403,398,355,264,295
" "," ","7.2 Ærter til konsum",7,11,8,7,8,..,..,5,15,7,9,7,17,8,..,..,11,6,..,..
" "," ","7.3 Frugt og bær",115,90,100,97,80,69,52,72,73,89,92,81,48,89,109,114,140,152,144,160
" "," ","7.3.1 Æbler",71,40,66,48,32,24,34,29,36,27,42,40,22,31,52,62,54,61,68,69
" "," ","7.3.2 Pærer",17,19,23,8,8,16,6,5,7,5,6,8,..,6,9,6,10,8,7,7
" "," ","7.3.3 Jordbær",34,38,21,28,26,17,17,26,23,31,31,25,22,22,20,18,24,18,19,15
" "," ","7.3.4 Kirsebær",18,16,20,23,13,10,9,9,9,7,9,10,6,8,14,11,15,19,13,14
" "," ","7.3.5 Solbær",10,11,11,10,10,6,10,10,10,..,7,..,..,10,6,8,7,7,8,10
" "," ","7.3.6 Ribs",7,8,9,5,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5
" "," ","9. Juletræer og pyntegrønt",170,154,181,181,184,177,163,167,204,160,183,167,273,161,140,119,167,201,140,123
" ","Landsdelene Byen København, Københavns omegn og Nordsjælland"
" "," ","1.1 Hvede",711,648,664,607,592,518,598,509,535,562,539,584,523,451,415,466,461,363,325,313
" "," ","1.2.2 Vårbyg",750,707,788,658,591,671,792,632,638,557,665,733,702,495,501,498,493,513,364,368
" "," ","1.3 Rug",191,158,161,214,223,141,214,225,172,324,162,160,113,172,178,202,163,161,152,144
" "," ","1.4 Havre",320,227,313,190,198,222,168,160,120,83,153,131,138,123,150,118,122,100,73,110
" "," ","1.6 Majs til modenhed",..,..,..,32,48,61,156,38,42,73,49,50,45,45,47,30,61,46,54,30
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,7,..,..,..,..,..,5,10,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,5,..,..,..
" "," ","4.1 Raps",338,348,342,373,353,196,329,340,291,317,274,330,296,215,218,300,258,243,148,206
