"Hektar"
" ","Region Hovedstaden"
" "," ","1.1 Hvede",32734,28758,26882,29591,30883,31762,32946,26993,31715,29394,27428,28367,26298,25015,24174,26208,24525,23798,22904,21062
" "," ","1.2.2 Vårbyg",12692,11651,14679,11826,10706,16021,22150,15801,16673,14892,17844,17343,24175,16836,17688,16582,17401,14187,11828,15000
" "," ","1.3 Rug",3547,2633,2728,3604,4097,2614,3815,4893,4316,6542,3197,3293,3113,3874,4129,4729,3829,3867,4499,4387
" "," ","1.4 Havre",3642,2695,4500,2293,2374,2227,1646,1980,1012,1215,1570,1783,1760,1699,3231,1667,1217,1316,1352,2275
" "," ","1.6 Majs til modenhed",..,..,..,90,210,272,436,202,211,90,116,411,158,98,84,32,151,151,115,103
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,487,..,..,..,..,..,71,49,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,234,109,..,..,..
" "," ","4.1 Raps",6703,8536,6964,8429,8582,5731,6669,8956,8503,10925,8191,10243,8631,7317,7552,9220,9876,10300,6424,7700
" "," ","7.2 Ærter til konsum",28,76,103,30,51,..,..,26,44,16,32,31,133,73,..,..,25,13,..,..
" "," ","7.3 Frugt og bær",436,399,416,358,307,312,279,256,269,229,352,287,216,246,305,305,366,359,339,339
" "," ","7.3.1 Æbler",119,113,128,87,65,70,91,62,72,68,137,99,72,89,103,121,116,120,137,122
" "," ","7.3.2 Pærer",33,20,30,21,19,31,16,16,17,18,12,16,..,14,16,8,15,12,10,10
" "," ","7.3.3 Jordbær",52,54,42,48,49,42,60,60,66,74,85,67,67,61,68,66,68,37,31,28
" "," ","7.3.4 Kirsebær",88,85,82,81,47,47,43,31,35,26,5,5,4,7,14,9,12,22,8,7
" "," ","7.3.5 Solbær",88,86,87,91,92,84,38,40,39,..,22,..,..,19,22,10,9,11,7,6
" "," ","7.3.6 Ribs",27,19,19,16,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14
" "," ","9. Juletræer og pyntegrønt",340,370,512,382,468,264,581,552,660,546,656,297,403,370,421,248,663,607,439,296
" ","Landsdelene Byen København, Københavns omegn og Nordsjælland"
" "," ","1.1 Hvede",17826,14522,13185,14566,15566,15670,18922,13315,17973,16849,14694,17481,14351,13477,12461,13925,13289,11908,10294,10167
" "," ","1.2.2 Vårbyg",8490,7661,10702,7544,6615,10082,15397,9918,11779,9295,12048,12185,15769,11377,10695,9468,10963,9425,6304,8180
" "," ","1.3 Rug",3328,2426,2594,3459,4017,2496,3571,4607,3849,5975,2519,3026,2598,3351,3754,4286,3512,3477,3642,3870
" "," ","1.4 Havre",2756,2153,3719,1687,1835,2035,1537,1708,845,1009,1380,1484,1514,1469,2500,1338,1107,1195,1073,1574
" "," ","1.6 Majs til modenhed",..,..,..,67,120,118,206,73,62,86,95,58,156,58,76,31,78,146,108,99
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,487,..,..,..,..,..,30,49,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,234,109,..,..,..
" "," ","4.1 Raps",4707,6369,4396,6035,6528,3379,5671,6825,6078,7371,5122,7354,6131,5108,4996,6507,6389,6994,3079,4890
" "," ","7.2 Ærter til konsum",28,76,103,..,51,..,..,..,44,16,31,31,133,73,..,..,25,13,..,..
" "," ","7.3 Frugt og bær",421,382,392,339,293,297,271,251,260,220,344,269,195,215,265,257,317,301,279,286
" "," ","7.3.1 Æbler",115,105,117,78,60,65,88,59,68,62,133,92,66,81,91,103,101,100,111,104
" "," ","7.3.2 Pærer",32,19,29,20,19,30,..,..,..,18,12,16,..,14,16,8,15,12,10,10
" "," ","7.3.3 Jordbær",49,51,39,44,47,41,59,59,65,74,84,67,66,61,68,65,67,37,30,27
" "," ","7.3.4 Kirsebær",87,85,78,81,47,47,43,31,35,26,5,5,..,7,13,8,11,21,6,6
" "," ","7.3.5 Solbær",86,85,86,90,91,83,37,40,38,..,22,..,..,18,20,8,7,9,4,4
" "," ","7.3.6 Ribs",27,19,18,..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","9. Juletræer og pyntegrønt",250,284,434,314,402,223,321,443,487,514,560,239,373,260,334,145,357,528,348,245
" ","Landsdel Bornholm"
" "," ","1.1 Hvede",14908,14236,13697,15025,15316,16092,14024,13678,13742,12545,12734,10886,11948,11538,11712,12283,11236,11890,12611,10896
" "," ","1.2.2 Vårbyg",4202,3991,3978,4282,4091,5939,6753,5883,4894,5597,5795,5158,8406,5459,6993,7114,6438,4761,5524,6821
" "," ","1.3 Rug",220,207,134,145,80,118,245,286,467,567,677,268,514,523,375,444,317,391,857,518
" "," ","1.4 Havre",887,541,781,606,538,192,109,272,167,206,190,299,246,230,731,328,110,121,279,701
" "," ","1.6 Majs til modenhed",..,..,..,24,90,153,231,129,148,..,21,353,..,..,8,..,..,5,6,4
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
" "," ","4.1 Raps",1996,2167,2567,2394,2054,2353,999,2131,2425,3554,3068,2889,2500,2209,2556,2714,3487,3306,3345,2809
