"Hektar"
" ","Region Hovedstaden"
" "," ","1.1 Hvede",32734,28758,26882,29591,30883,31762,32946,26993,31715,29394,27428,28367,26298,25015,24174,26208,24525,23798,22904,21062
" "," ","1.2.2 Vårbyg",12692,11651,14679,11826,10706,16021,22150,15801,16673,14892,17844,17343,24175,16836,17688,16582,17401,14187,11828,15000
" "," ","1.3 Rug",3547,2633,2728,3604,4097,2614,3815,4893,4316,6542,3197,3293,3113,3874,4129,4729,3829,3867,4499,4387
" "," ","1.4 Havre",3642,2695,4500,2293,2374,2227,1646,1980,1012,1215,1570,1783,1760,1699,3231,1667,1217,1316,1352,2275
" "," ","1.6 Majs til modenhed",..,..,..,90,210,272,436,202,211,90,116,411,158,98,84,32,151,151,115,103
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,487,..,..,..,..,..,71,49,..,..,..,..
" "," ","3.2 Sukkerroer til fabrik",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,234,109,..,..,..
" "," ","4.1 Raps",6703,8536,6964,8429,8582,5731,6669,8956,8503,10925,8191,10243,8631,7317,7552,9220,9876,10300,6424,7700
" "," ","7.2 Ærter til konsum",28,76,103,30,51,..,..,26,44,16,32,31,133,73,..,..,25,13,..,..
" "," ","7.3 Frugt og bær",436,399,416,358,307,312,279,256,269,229,352,287,216,246,305,305,366,359,339,339
" "," ","7.3.1 Æbler",119,113,128,87,65,70,91,62,72,68,137,99,72,89,103,121,116,120,137,122
" "," ","7.3.2 Pærer",33,20,30,21,19,31,16,16,17,18,12,16,..,14,16,8,15,12,10,10
" "," ","7.3.3 Jordbær",52,54,42,48,49,42,60,60,66,74,85,67,67,61,68,66,68,37,31,28
" "," ","7.3.4 Kirsebær",88,85,82,81,47,47,43,31,35,26,5,5,4,7,14,9,12,22,8,7
" "," ","7.3.5 Solbær",88,86,87,91,92,84,38,40,39,..,22,..,..,19,22,10,9,11,7,6
" "," ","7.3.6 Ribs",27,19,19,16,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14
" "," ","9. Juletræer og pyntegrønt",340,370,512,382,468,264,581,552,660,546,656,297,403,370,421,248,663,607,439,296
" ","Region Sjælland"
" "," ","1.1 Hvede",159239,156788,141272,153942,163383,169965,140099,142128,155904,150486,148266,137036,102416,142106,128350,141942,122725,128413,134302,132744
" "," ","1.2.2 Vårbyg",103385,95005,143440,100846,97731,110565,139010,113510,104877,126732,123791,115897,169620,116785,116370,102335,104711,104833,101919,101869
" "," ","1.3 Rug",2171,2873,2679,3968,4816,4217,5736,8435,7317,7135,5377,7414,5147,10180,9067,8007,8520,8575,9523,8770
" "," ","1.4 Havre",4238,3704,4886,3944,2924,3531,4062,2815,2278,1754,2832,3695,5422,3467,7040,4580,3537,4175,3183,6516
" "," ","1.6 Majs til modenhed",..,..,..,952,1391,1611,1567,1207,1337,807,854,707,959,987,871,942,1323,993,1275,1396
" "," ","3.1.2 Industrikartofler",..,..,..,..,..,..,..,..,..,49,..,..,..,..,162,191,..,..,..,105
" "," ","3.2 Sukkerroer til fabrik",31008,32627,35695,37139,38571,39290,42363,38084,35272,24491,33968,32259,38419,28971,32152,32142,30245,30193,32587,30482
" "," ","4.1 Raps",25941,40562,29924,33916,38925,27921,24558,45458,44668,47715,39370,45585,37085,38402,38639,43254,51941,54052,45732,43124
" "," ","7.2 Ærter til konsum",2704,2434,3022,3415,2159,2434,2138,1892,1722,2001,2459,2427,1899,2417,2281,2609,2010,58,7,8
" "," ","7.3 Frugt og bær",2884,3218,2870,2885,2846,2517,2884,2531,2427,2018,2107,2045,1866,1735,1661,1734,1624,1566,1377,1377
" "," ","7.3.1 Æbler",473,604,570,579,562,486,613,493,458,438,397,434,479,441,448,473,450,459,483,451
" "," ","7.3.2 Pærer",140,170,135,117,125,108,108,103,99,104,103,113,111,126,114,144,118,118,108,104
" "," ","7.3.3 Jordbær",356,354,352,340,369,380,389,355,423,453,392,473,462,367,381,336,316,278,218,186
" "," ","7.3.4 Kirsebær",1214,1267,971,1091,1051,811,852,869,801,601,691,569,388,346,306,367,277,225,150,209
" "," ","7.3.5 Solbær",440,517,605,461,472,475,577,445,342,165,233,175,133,181,133,144,161,127,80,57
" "," ","7.3.6 Ribs",198,215,108,143,88,86,83,85,71,62,67,82,99,75,76,79,75,59,..,34
" "," ","9. Juletræer og pyntegrønt",2787,2659,3607,2764,2697,2602,3809,3148,3277,2464,2696,2763,2226,2175,2969,2692,2791,2696,3400,2165
" ","Region Syddanmark"
" "," ","1.1 Hvede",188311,190791,181212,206552,211564,204067,170266,149703,176719,167525,157387,167568,115027,158303,136325,149846,132321,134267,138188,129169
" "," ","1.2.2 Vårbyg",151695,128291,172555,127644,116585,125413,179789,153330,130616,148352,162951,151538,189204,131437,154390,152356,156097,141269,152461,137506
" "," ","1.3 Rug",7625,7692,7195,9019,12163,13457,10691,20665,27386,33723,28171,30842,22963,37419,30725,28311,28605,29244,29538,25047
" "," ","1.4 Havre",16655,14213,21051,14225,11613,11920,14022,16291,11963,13161,16553,19027,28023,17747,25301,23887,23015,20764,19268,32281
" "," ","1.6 Majs til modenhed",..,..,..,4634,4624,4764,7300,6998,4906,3587,2917,2297,2452,2187,2839,2867,3761,2955,4274,3947
" "," ","3.1.2 Industrikartofler",4719,5018,4427,4593,4012,4559,5680,4864,5501,6628,7351,7663,7214,10426,11857,10548,10627,12466,13123,16197
